member,costume,type
吉田綾乃クリスティー,7th YEAR BIRTHDAY LIVE,チュウ
吉田綾乃クリスティー,7th YEAR BIRTHDAY LIVE,ヒキ
吉田綾乃クリスティー,西野七瀬卒業コンサートライブT,ヨリ
吉田綾乃クリスティー,西野七瀬卒業コンサートライブT,チュウ
吉田綾乃クリスティー,西野七瀬卒業コンサートライブT,ヒキ
吉田綾乃クリスティー,2019.March-紅白2018衣装,ヨリ
吉田綾乃クリスティー,2019.March-紅白2018衣装,チュウ
吉田綾乃クリスティー,2019.March-紅白2018衣装,ヒキ
吉田綾乃クリスティー,2019.March-Ⅱ-スペシャル衣装16,ヨリ
吉田綾乃クリスティー,2019.March-Ⅱ-スペシャル衣装16,チュウ
吉田綾乃クリスティー,2019.March-Ⅱ-スペシャル衣装16,ヒキ
吉田綾乃クリスティー,2019.March-Ⅲ-トレンチコート,ヨリ
吉田綾乃クリスティー,2019.March-Ⅲ-トレンチコート,チュウ
吉田綾乃クリスティー,2019.March-Ⅲ-トレンチコート,ヒキ
吉田綾乃クリスティー,日常,ヨリ
吉田綾乃クリスティー,日常,チュウ
吉田綾乃クリスティー,日常,ヒキ
吉田綾乃クリスティー,2019.March-Ⅳ-スペシャル衣装17,ヨリ
吉田綾乃クリスティー,2019.March-Ⅳ-スペシャル衣装17,チュウ
吉田綾乃クリスティー,2019.March-Ⅳ-スペシャル衣装17,ヒキ
吉田綾乃クリスティー,2019.March-Ⅴ-セットアップ,ヨリ
吉田綾乃クリスティー,2019.March-Ⅴ-セットアップ,チュウ
吉田綾乃クリスティー,2019.March-Ⅴ-セットアップ,ヒキ
吉田綾乃クリスティー,2019.March-Ⅵ-シャツワンピ,ヨリ
吉田綾乃クリスティー,2019.March-Ⅵ-シャツワンピ,チュウ
吉田綾乃クリスティー,2019.March-Ⅵ-シャツワンピ,ヒキ
吉田綾乃クリスティー,2019.April-スペシャル衣装18,ヨリ
吉田綾乃クリスティー,2019.April-スペシャル衣装18,チュウ
吉田綾乃クリスティー,2019.April-スペシャル衣装18,ヒキ
吉田綾乃クリスティー,2019.April-Ⅱ-デニムジャケット,ヨリ
吉田綾乃クリスティー,2019.April-Ⅱ-デニムジャケット,チュウ
吉田綾乃クリスティー,2019.April-Ⅱ-デニムジャケット,ヒキ
吉田綾乃クリスティー,2019.May-7thBDライブ衣装1,ヨリ
